x,sin_x,cos_x
0.804962,0.720804,0.693139
0.806090,0.721586,0.692325
0.810720,0.724783,0.688977
0.812810,0.726222,0.687460
0.816321,0.728631,0.684907
0.822408,0.732787,0.680458
0.823460,0.733502,0.679687
0.823780,0.733720,0.679452
0.824072,0.733918,0.679238
0.827840,0.736472,0.676468
0.828263,0.736758,0.676156
0.830027,0.737949,0.674856
0.832786,0.739809,0.672817
0.842541,0.746337,0.665568
0.844252,0.747475,0.664290
0.845416,0.748248,0.663420
0.846295,0.748830,0.662762
0.848469,0.750269,0.661132
0.848731,0.750443,0.660936
0.859673,0.757629,0.652685
0.862124,0.759227,0.650827
0.863360,0.760030,0.649888
0.865782,0.761603,0.648044
0.867064,0.762432,0.647068
0.868370,0.763277,0.646072
0.869147,0.763779,0.645478
0.871192,0.765097,0.643915
0.877281,0.769004,0.639244
0.878091,0.769521,0.638622
0.878191,0.769585,0.638544
0.878370,0.769700,0.638406
0.879994,0.770735,0.637156
0.881211,0.771510,0.636217
0.881780,0.771872,0.635778
0.886101,0.774612,0.632437
0.889673,0.776866,0.629666
0.898633,0.782476,0.622680
0.903011,0.785195,0.619249
0.903974,0.785791,0.618492
0.904135,0.785890,0.618366
0.904205,0.785934,0.618311
0.908072,0.788319,0.615267
0.911880,0.790656,0.612260
0.918434,0.794652,0.607066
0.922772,0.797278,0.603612
0.926305,0.799405,0.600792
0.928550,0.800752,0.598995
0.932670,0.803213,0.595692
0.938546,0.806699,0.590962
0.942726,0.809163,0.587584
0.945330,0.810690,0.585475
0.946237,0.811221,0.584740
0.946706,0.811495,0.584359
0.957005,0.817470,0.575971
0.957097,0.817523,0.575896
0.960555,0.819510,0.573065
0.963114,0.820973,0.570966
0.964629,0.821838,0.569722
0.964667,0.821859,0.569690
0.964970,0.822032,0.569441
0.965109,0.822111,0.569327
0.965178,0.822150,0.569270
0.965181,0.822152,0.569268
0.967382,0.823403,0.567457
0.969389,0.824540,0.565803
0.969429,0.824563,0.565770
0.970269,0.825038,0.565078
0.975232,0.827832,0.560976
0.976389,0.828480,0.560018
0.976668,0.828637,0.559786
0.978654,0.829747,0.558140
0.989748,0.835888,0.548900
0.990303,0.836192,0.548436
1.007270,0.845377,0.534170
1.009006,0.846303,0.532702
1.013189,0.848524,0.529157
1.013300,0.848583,0.529063
1.017509,0.850802,0.525487
1.022547,0.853439,0.521194
1.023352,0.853857,0.520507
1.026620,0.855554,0.517713
1.027784,0.856156,0.516717
1.028880,0.856722,0.515779
1.034261,0.859485,0.511161
1.038682,0.861736,0.507357
1.039790,0.862298,0.506401
1.040066,0.862438,0.506163
1.042424,0.863629,0.504129
1.043402,0.864122,0.503283
1.047200,0.866000,0.500000
1.049122,0.866986,0.498333
1.051585,0.868211,0.496195
1.053687,0.869252,0.494369
1.055580,0.870186,0.492723
1.061061,0.872874,0.487947
1.062705,0.873675,0.486511
1.066345,0.875440,0.483327
1.066885,0.875701,0.482855
1.070285,0.877337,0.479874
1.071867,0.878095,0.478485
1.076255,0.880186,0.474628
1.080459,0.882174,0.470924
1.086639,0.885067,0.465463
1.086956,0.885215,0.465182
1.087794,0.885605,0.464440
1.097305,0.889982,0.455997
1.098347,0.890456,0.455068
1.100692,0.891521,0.452979
1.101735,0.891993,0.452050
1.102462,0.892321,0.451401
1.106710,0.894231,0.447606
1.107671,0.894661,0.446746
1.108075,0.894841,0.446385
1.108080,0.894843,0.446381
1.110031,0.895713,0.444633
1.110696,0.896008,0.444038
1.112133,0.896645,0.442750
1.113603,0.897295,0.441431
1.115307,0.898046,0.439902
1.121183,0.900615,0.434618
1.122203,0.901058,0.433698
1.126376,0.902860,0.429935
1.127782,0.903464,0.428665
1.136530,0.907179,0.420745
1.136796,0.907291,0.420504
1.140388,0.908796,0.417242
1.148621,0.912200,0.409745
1.153173,0.914056,0.405589
1.163516,0.918202,0.396113
1.164747,0.918689,0.394983
1.167203,0.919656,0.392725
1.176457,0.923251,0.384198
1.178686,0.924105,0.382140
1.178784,0.924142,0.382049
1.180633,0.924847,0.380340
1.183262,0.925844,0.377907
1.184219,0.926205,0.377021
1.184570,0.926337,0.376695
1.185714,0.926767,0.375636
1.186494,0.927060,0.374912
1.189806,0.928297,0.371840
1.190484,0.928549,0.371211
1.203877,0.933437,0.358741
1.205876,0.934152,0.356875
1.208261,0.935001,0.354646
1.210084,0.935646,0.352941
1.212915,0.936641,0.350290
1.213964,0.937008,0.349308
1.222951,0.940109,0.340873
1.226002,0.941145,0.338003
1.226387,0.941275,0.337641
1.228278,0.941912,0.335860
1.228336,0.941931,0.335805
1.234235,0.943896,0.330243
1.236168,0.944532,0.328419
1.241978,0.946425,0.322925
1.242876,0.946714,0.322075
1.245354,0.947509,0.319728
1.247738,0.948269,0.317468
1.253759,0.950163,0.311753
1.255227,0.950620,0.310357
1.256060,0.950878,0.309566
1.260171,0.952143,0.305654
1.265109,0.953640,0.300949
1.266282,0.953993,0.299830
1.267834,0.954457,0.298349
1.268369,0.954616,0.297838
1.269072,0.954825,0.297167
1.269757,0.955029,0.296513
1.271487,0.955540,0.294861
1.271746,0.955617,0.294613
1.272486,0.955834,0.293906
1.274170,0.956328,0.292296
1.280894,0.958272,0.285859
1.284267,0.959230,0.282625
1.290505,0.960975,0.276635
1.293204,0.961718,0.274041
1.299448,0.963410,0.268031
1.300526,0.963699,0.266992
1.300748,0.963758,0.266778
1.305126,0.964917,0.262556
1.306890,0.965378,0.260853
1.309000,0.965900,0.258800
1.309286,0.966001,0.258540
1.313548,0.967094,0.254420
1.325340,0.970026,0.242999
1.330604,0.971292,0.237890
1.331750,0.971564,0.236776
1.332961,0.971850,0.235599
1.333777,0.972042,0.234807
1.338789,0.973207,0.229931
1.345182,0.974657,0.223706
1.346653,0.974985,0.222272
1.347988,0.975281,0.220969
1.348275,0.975344,0.220689
1.352005,0.976161,0.217050
1.352416,0.976250,0.216648
1.353996,0.976591,0.215106
1.356695,0.977168,0.212469
1.359403,0.977740,0.209823
1.361079,0.978090,0.208184
1.362924,0.978472,0.206378
1.367400,0.979386,0.201996
1.374159,0.980729,0.195372
1.375117,0.980916,0.194433
1.377206,0.981320,0.192383
1.379659,0.981789,0.189975
1.383293,0.982473,0.186407
1.387314,0.983214,0.182454
1.397179,0.984966,0.172747
1.404859,0.986264,0.165176
1.407092,0.986630,0.162974
1.410047,0.987108,0.160058
1.411766,0.987381,0.158361
1.414833,0.987862,0.155332
1.417442,0.988264,0.152754
1.419554,0.988585,0.150667
1.425714,0.989494,0.144574
1.427783,0.989791,0.142526
1.430437,0.990166,0.139899
1.431736,0.990347,0.138613
1.432364,0.990434,0.137991
1.434155,0.990679,0.136216
1.436623,0.991012,0.133771
1.442971,0.991841,0.127477
1.446477,0.992282,0.123999
1.449400,0.992640,0.121099
1.449822,0.992692,0.120680
1.453179,0.993091,0.117347
1.461280,0.994009,0.109298
1.461725,0.994058,0.108855
1.463054,0.994201,0.107534
1.469885,0.994913,0.100740
1.473628,0.995283,0.097016
1.477159,0.995619,0.093501
1.478159,0.995712,0.092504
1.482815,0.996132,0.087868
1.485096,0.996330,0.085595
1.486993,0.996491,0.083705
1.487512,0.996534,0.083188
1.489505,0.996698,0.081202
1.493252,0.996995,0.077467
1.497525,0.997317,0.073206
1.498872,0.997415,0.071863
1.509386,0.998115,0.061372
1.512696,0.998313,0.058067
1.513167,0.998340,0.057597
1.513790,0.998376,0.056976
1.514063,0.998391,0.056703
1.516585,0.998531,0.054184
1.518262,0.998620,0.052510
1.518643,0.998640,0.052129
1.523565,0.998885,0.047214
1.530563,0.999191,0.040222
1.531008,0.999209,0.039778
1.534385,0.999337,0.036403
1.538102,0.999466,0.032689
1.541008,0.999556,0.029784
1.542937,0.999612,0.027856
1.543777,0.999635,0.027016
1.544882,0.999664,0.025912
1.546082,0.999695,0.024712
1.547877,0.999737,0.022917
1.549939,0.999783,0.020856
1.550219,0.999788,0.020576
1.557222,0.999908,0.013574
1.560784,0.999950,0.010013
1.566948,0.999993,0.003848
1.570800,1.000000,0.000000
1.573517,0.999996,-0.002721
1.586104,0.999883,-0.015307
1.589864,0.999818,-0.019067
1.590806,0.999800,-0.020008
1.591251,0.999791,-0.020453
1.592055,0.999774,-0.021257
1.593821,0.999735,-0.023023
1.597585,0.999641,-0.026785
1.600505,0.999559,-0.029705
1.602884,0.999485,-0.032082
1.608276,0.999298,-0.037471
1.617432,0.998913,-0.046619
1.617618,0.998904,-0.046805
1.618628,0.998856,-0.047813
1.619858,0.998797,-0.049042
1.620396,0.998770,-0.049579
1.630109,0.998242,-0.059277
1.634788,0.997953,-0.063948
1.635818,0.997887,-0.064976
1.638050,0.997739,-0.067203
1.649088,0.996937,-0.078212
1.651669,0.996732,-0.080785
1.662153,0.995830,-0.091229
1.662516,0.995797,-0.091591
1.663233,0.995731,-0.092305
1.663833,0.995675,-0.092902
1.670510,0.995033,-0.099549
1.671521,0.994932,-0.100555
1.674238,0.994655,-0.103258
1.677458,0.994317,-0.106459
1.684428,0.993551,-0.113388
1.690997,0.992785,-0.119911
1.698608,0.991843,-0.127464
1.699821,0.991688,-0.128667
1.700432,0.991609,-0.129273
1.700838,0.991556,-0.129675
1.701227,0.991506,-0.130062
1.710544,0.990251,-0.139293
1.712711,0.989947,-0.141439
1.714080,0.989752,-0.142794
1.716486,0.989406,-0.145175
1.718009,0.989184,-0.146682
1.722437,0.988525,-0.151060
1.726777,0.987860,-0.155349
1.728071,0.987658,-0.156627
1.728834,0.987538,-0.157381
1.735462,0.986473,-0.163923
1.746864,0.984540,-0.175160
1.747200,0.984481,-0.175490
1.747438,0.984439,-0.175724
1.763134,0.981560,-0.191154
1.764924,0.981216,-0.192911
1.767044,0.980805,-0.194990
1.767987,0.980621,-0.195915
1.779693,0.978260,-0.207381
1.781414,0.977902,-0.209064
1.783849,0.977390,-0.211445
1.784747,0.977200,-0.212322
1.786920,0.976736,-0.214445
1.787823,0.976542,-0.215327
1.788949,0.976299,-0.216426
1.791477,0.975749,-0.218894
1.797288,0.974460,-0.224560
1.799795,0.973894,-0.227002
1.802598,0.973254,-0.229732
1.808645,0.971847,-0.235613
1.810535,0.971400,-0.237449
1.810992,0.971292,-0.237892
1.811619,0.971142,-0.238502
1.816366,0.969999,-0.243109
1.817852,0.969637,-0.244550
1.818540,0.969468,-0.245218
1.821081,0.968842,-0.247680
1.827891,0.967133,-0.254271
1.830477,0.966472,-0.256772
1.832600,0.965900,-0.258800
1.835063,0.965284,-0.261201
1.844704,0.962721,-0.270496
1.852002,0.960722,-0.277514
1.852119,0.960689,-0.277627
1.853660,0.960260,-0.279107
1.855796,0.959662,-0.281157
1.860029,0.958463,-0.285217
1.861706,0.957983,-0.286823
1.862098,0.957871,-0.287199
1.865330,0.956938,-0.290293
1.878318,0.953087,-0.302698
1.881081,0.952247,-0.305329
1.886664,0.950527,-0.310641
1.890916,0.949198,-0.314680
1.893252,0.948460,-0.316896
1.893392,0.948416,-0.317029
1.894456,0.948078,-0.318039
1.896045,0.947571,-0.319544
1.897066,0.947245,-0.320511
1.897972,0.946954,-0.321369
1.900540,0.946126,-0.323800
1.903583,0.945136,-0.326678
1.905075,0.944647,-0.328088
1.908810,0.943415,-0.331614
1.909775,0.943095,-0.332524
1.913020,0.942011,-0.335582
1.914515,0.941508,-0.336991
1.921399,0.939166,-0.343464
1.922382,0.938828,-0.344387
1.932300,0.935366,-0.353681
1.933119,0.935076,-0.354447
1.937315,0.933581,-0.358367
1.949821,0.929026,-0.370015
1.949890,0.929000,-0.370079
1.951898,0.928255,-0.371943
1.953829,0.927536,-0.373735
1.961700,0.924565,-0.381024
1.962657,0.924200,-0.381909
1.963935,0.923711,-0.383089
1.971957,0.920608,-0.390488
1.972250,0.920494,-0.390757
1.975106,0.919374,-0.393385
1.975685,0.919146,-0.393916
1.975752,0.919120,-0.393978
1.977630,0.918378,-0.395704
1.985041,0.915421,-0.402498
1.986832,0.914698,-0.404138
1.987758,0.914324,-0.404984
1.992027,0.912587,-0.408884
1.992642,0.912335,-0.409445
1.992732,0.912298,-0.409527
1.995764,0.911052,-0.412291
1.997997,0.910129,-0.414325
2.000104,0.909254,-0.416241
2.000561,0.909064,-0.416657
2.005169,0.907134,-0.420841
2.005319,0.907071,-0.420978
2.013115,0.903762,-0.428036
2.013705,0.903509,-0.428569
2.015115,0.902904,-0.429843
2.015232,0.902853,-0.429948
2.015960,0.902540,-0.430606
2.017441,0.901902,-0.431941
2.020251,0.900684,-0.434475
2.020331,0.900649,-0.434547
2.024541,0.898812,-0.438334
2.026267,0.898054,-0.439885
2.026279,0.898049,-0.439896
2.035354,0.894020,-0.448028
2.044189,0.890027,-0.455908
2.047221,0.888640,-0.458605
2.049816,0.887447,-0.460910
2.051754,0.886552,-0.462629
2.057715,0.883779,-0.467905
2.063154,0.881221,-0.472705
2.068817,0.878530,-0.477688
2.072579,0.876726,-0.480989
2.074716,0.875697,-0.482862
2.077705,0.874249,-0.485477
2.077950,0.874130,-0.485691
2.078074,0.874070,-0.485800
2.083309,0.871515,-0.490369
2.087042,0.869678,-0.493619
2.092892,0.866776,-0.498698
2.094400,0.866000,-0.500000
2.095756,0.865344,-0.501178
2.096308,0.865067,-0.501656
2.099283,0.863571,-0.504227
2.099401,0.863512,-0.504329
2.105162,0.860592,-0.509295
2.111967,0.857106,-0.515140
2.116532,0.854746,-0.519047
2.126585,0.849485,-0.527613
2.129093,0.848159,-0.529742
2.132024,0.846602,-0.532226
2.133002,0.846082,-0.533053
2.134624,0.845216,-0.534425
2.139995,0.842333,-0.538957
2.144998,0.839626,-0.543165
2.148390,0.837779,-0.546010
2.151127,0.836282,-0.548300
2.151386,0.836139,-0.548517
2.153333,0.835070,-0.550144
2.156970,0.833063,-0.553178
2.162302,0.830102,-0.557612
2.165442,0.828347,-0.560216
2.172291,0.824491,-0.565875
2.174383,0.823305,-0.567599
2.176990,0.821823,-0.569743
2.177079,0.821772,-0.569817
2.179447,0.820420,-0.571761
2.184498,0.817522,-0.575897
2.185925,0.816699,-0.577064
2.186746,0.816225,-0.577734
2.188282,0.815337,-0.578987
2.196373,0.810626,-0.585565
2.212000,0.801377,-0.598160
2.213016,0.800768,-0.598975
2.220086,0.796513,-0.604621
2.227552,0.791977,-0.610551
2.245420,0.780942,-0.624603
2.247386,0.779712,-0.626138
2.253608,0.775802,-0.630976
2.259850,0.771848,-0.635807
2.266077,0.767874,-0.640601
2.266714,0.767466,-0.641090
2.267040,0.767257,-0.641340
2.271598,0.764325,-0.644831
2.271994,0.764070,-0.645133
2.273336,0.763204,-0.646158
2.288286,0.753459,-0.657495
2.292856,0.750446,-0.660932
2.295741,0.748536,-0.663094
2.301754,0.744536,-0.667583
2.302112,0.744297,-0.667849
2.303468,0.743390,-0.668858
2.309145,0.739581,-0.673067
2.311611,0.737919,-0.674889
2.318424,0.733304,-0.679901
2.320210,0.732089,-0.681209
2.324680,0.729036,-0.684475
2.327667,0.726988,-0.686650
2.329793,0.725527,-0.688194
2.330511,0.725033,-0.688715
2.330574,0.724989,-0.688760
2.332649,0.723558,-0.690263
2.334475,0.722297,-0.691583
2.338989,0.719168,-0.694836
2.341758,0.717241,-0.696825
2.344009,0.715671,-0.698438
2.347487,0.713237,-0.700923
2.347761,0.713045,-0.701118
2.351068,0.710723,-0.703472
2.352826,0.709484,-0.704721
2.356200,0.707100,-0.707100
2.364736,0.701041,-0.713121
2.367090,0.699361,-0.714769
2.369670,0.697514,-0.716571
2.370055,0.697238,-0.716840
2.376304,0.692745,-0.721182
2.376991,0.692250,-0.721658
2.377042,0.692213,-0.721694
2.378769,0.690966,-0.722888
2.381658,0.688874,-0.724881
2.384243,0.686998,-0.726659
2.392212,0.681186,-0.732111
2.394027,0.679856,-0.733346
2.405097,0.671696,-0.740827
2.408469,0.669194,-0.743088
2.415912,0.663645,-0.748048
2.419589,0.660890,-0.750483
2.421348,0.659569,-0.751644
2.427455,0.654966,-0.755658
2.434598,0.649551,-0.760318
2.436881,0.647814,-0.761799
2.444767,0.641787,-0.766883
2.450835,0.637121,-0.770764
2.459817,0.630173,-0.776455
2.459910,0.630100,-0.776514
2.463386,0.627398,-0.778699
2.465328,0.625884,-0.779916
2.466054,0.625318,-0.780370
2.466607,0.624886,-0.780716
2.468778,0.623190,-0.782070
2.468836,0.623145,-0.782107
2.473253,0.619684,-0.784852
2.476247,0.617331,-0.786704
2.476365,0.617238,-0.786776
2.478601,0.615478,-0.788154
2.479533,0.614743,-0.788728
2.481904,0.612871,-0.790183
2.482498,0.612401,-0.790547
2.483333,0.611741,-0.791058
2.489187,0.607099,-0.794626
2.490882,0.605752,-0.795654
2.494048,0.603230,-0.797567
2.495890,0.601759,-0.798677
2.497723,0.600295,-0.799779
2.498057,0.600027,-0.799979
2.503891,0.595350,-0.803466
2.504179,0.595119,-0.803638
2.508218,0.591868,-0.806035
2.511239,0.589430,-0.807819
2.513660,0.587473,-0.809244
2.516109,0.585489,-0.810680
2.521222,0.581337,-0.813663
2.521791,0.580873,-0.813994
2.523715,0.579307,-0.815109
2.526141,0.577327,-0.816513
2.531367,0.573052,-0.819519
2.533005,0.571710,-0.820456
2.534350,0.570605,-0.821225
2.538623,0.567091,-0.823655
2.543779,0.562837,-0.826568
2.544653,0.562114,-0.827060
2.553404,0.554855,-0.831947
2.559533,0.549745,-0.835332
2.563175,0.546700,-0.837329
2.563297,0.546597,-0.837396
2.564524,0.545570,-0.838065
2.565569,0.544693,-0.838635
2.566861,0.543609,-0.839338
2.567745,0.542867,-0.839819
2.568460,0.542267,-0.840206
2.570044,0.540936,-0.841064
2.570702,0.540381,-0.841420
2.575995,0.535920,-0.844269
2.576412,0.535568,-0.844492
2.586008,0.527440,-0.849592
2.587484,0.526185,-0.850370
2.587689,0.526011,-0.850477
2.590297,0.523791,-0.851847
2.591028,0.523169,-0.852229
2.592264,0.522115,-0.852875
2.598524,0.516766,-0.856127
2.600801,0.514815,-0.857301
2.601403,0.514299,-0.857611
2.612595,0.504668,-0.863313
2.615454,0.502198,-0.864753
2.617635,0.500310,-0.865846
2.617990,0.500004,-0.866023
2.618000,0.500000,-0.866000
2.619393,0.498788,-0.866724
2.621682,0.496803,-0.867863
2.623979,0.494808,-0.869003
2.628885,0.490539,-0.871419
2.630193,0.489398,-0.872061
2.630494,0.489136,-0.872208
2.633373,0.486623,-0.873612
2.634366,0.485755,-0.874095
2.634546,0.485598,-0.874182
2.641337,0.479650,-0.877460
2.650034,0.472000,-0.881598
2.656116,0.466630,-0.884453
2.656533,0.466261,-0.884647
2.660900,0.462393,-0.886675
2.668952,0.455239,-0.890369
2.670224,0.454106,-0.890948
2.670867,0.453533,-0.891240
2.675896,0.449045,-0.893509
2.688595,0.437663,-0.899139
2.690271,0.436156,-0.899871
2.695651,0.431308,-0.902205
2.701500,0.426024,-0.904712
2.708533,0.419650,-0.907686
2.710108,0.418220,-0.908346
2.710680,0.417700,-0.908585
2.711314,0.417124,-0.908850
2.713995,0.414686,-0.909965
2.714921,0.413844,-0.910348
2.717576,0.411425,-0.911444
2.720446,0.408807,-0.912621
2.725514,0.404177,-0.914681
2.730440,0.399666,-0.916661
2.731676,0.398533,-0.917154
2.733795,0.396588,-0.917997
2.741458,0.389542,-0.921009
2.743663,0.387511,-0.921865
2.743976,0.387222,-0.921987
2.746706,0.384703,-0.923040
2.751040,0.380700,-0.924699
2.751432,0.380337,-0.924848
2.751970,0.379840,-0.925052
2.754462,0.377533,-0.925996
2.757198,0.374998,-0.927026
2.757555,0.374667,-0.927159
2.757762,0.374475,-0.927237
2.759440,0.372919,-0.927864
2.763402,0.369240,-0.929334
2.764916,0.367832,-0.929892
2.765159,0.367606,-0.929982
2.770650,0.362494,-0.931986
2.772284,0.360971,-0.932577
2.779142,0.354567,-0.935031
2.782518,0.351408,-0.936222
2.786054,0.348096,-0.937459
2.789375,0.344980,-0.938610
2.794057,0.340581,-0.940215
2.796118,0.338643,-0.940915
2.802759,0.332388,-0.943143
2.803282,0.331894,-0.943317
2.804075,0.331146,-0.943579
2.807571,0.327845,-0.944732
2.811052,0.324555,-0.945867
2.816170,0.319710,-0.947516
2.816379,0.319511,-0.947582
2.816410,0.319482,-0.947592
2.819451,0.316599,-0.948559
2.823421,0.312830,-0.949809
2.824494,0.311811,-0.950144
